id,Created (UTC),Amount,Amount Refunded,Currency,Fee,Net,Status,Description,Customer Email,order_id
ch_3Q000040,2026-06-23 13:08:00,164.40,0.00,eur,2.55,161.85,Paid,Shopify order #1119,gabriel.leroy22@example.com,#1119
ch_3Q000041,2026-06-23 14:04:00,416.40,0.00,eur,6.08,410.32,Paid,Shopify order #1120,hugo.michel99@example.com,#1120
ch_3Q000042,2026-06-23 15:21:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1121,lea.garcia3@example.com,#1121
ch_3Q000043,2026-06-23 22:16:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1122,jade.garcia85847@example.com,#1122
ch_3Q000044,2026-06-23 17:03:00,386.64,0.00,eur,5.66,380.98,Paid,Shopify order #1123,emma.dubois74@example.com,#1123
ch_3Q000045,2026-06-23 21:44:00,321.60,0.00,eur,4.75,316.85,Paid,Shopify order #1124,paul.robert41@example.com,#1124
ch_3Q000046,2026-06-23 16:27:00,224.64,0.00,eur,3.39,221.25,Paid,Shopify order #1125,arthur.durand70@example.com,#1125
ch_3Q000047,2026-06-23 22:38:00,204.12,0.00,eur,3.11,201.01,Paid,Shopify order #1126,paul.michel92441@example.com,#1126
ch_3Q000048,2026-06-23 14:00:00,204.12,0.00,eur,3.11,201.01,Paid,Shopify order #1127,emma.michel4@example.com,#1127
ch_3Q000049,2026-06-23 14:41:00,1051.20,0.00,eur,14.97,1036.23,Paid,Shopify order #1128,theo.michel47753@example.com,#1128
ch_3Q000050,2026-06-23 16:14:00,375.84,0.00,eur,5.51,370.33,Paid,Shopify order #1129,louis.thomas49869@example.com,#1129
ch_3Q000051,2026-06-23 22:15:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1130,manon.leroy6@example.com,#1130
ch_3Q000052,2026-06-23 21:45:00,204.12,0.00,eur,3.11,201.01,Paid,Shopify order #1131,louis.simon65@example.com,#1131
ch_3Q000053,2026-06-23 15:41:00,141.60,0.00,eur,2.23,139.37,Paid,Shopify order #1132,manon.garcia95828@example.com,#1132
ch_3Q000054,2026-06-24 17:29:00,76.70,0.00,eur,1.32,75.38,Paid,Shopify order #1133,louis.garcia68@example.com,#1133
ch_3Q000055,2026-06-24 20:57:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1134,lea.laurent34@example.com,#1134
ch_3Q000056,2026-06-24 15:53:00,165.60,0.00,eur,2.57,163.03,Paid,Shopify order #1135,gabriel.garcia74245@example.com,#1135
ch_3Q000057,2026-06-24 15:03:00,80.42,0.00,eur,1.38,79.04,Paid,Shopify order #1136,camille.bernard21@example.com,#1136
ch_3Q000058,2026-06-24 14:38:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1137,emma.garcia36@example.com,#1137
ch_3Q000059,2026-06-24 13:54:00,178.80,0.00,eur,2.75,176.05,Paid,Shopify order #1138,theo.robert97@example.com,#1138
ch_3Q000060,2026-06-24 17:18:00,88.70,55.81,eur,1.49,87.21,Paid,Shopify order #1139,nathan.martin93681@example.com,#1139
ch_3Q000061,2026-06-24 21:59:00,226.80,0.00,eur,3.43,223.37,Paid,Shopify order #1140,lea.thomas10@example.com,#1140
ch_3Q000062,2026-06-24 12:17:00,76.70,0.00,eur,1.32,75.38,Paid,Shopify order #1141,nathan.moreau40855@example.com,#1141
ch_3Q000063,2026-06-24 12:40:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1142,paul.durand92@example.com,#1142
ch_3Q000064,2026-06-24 21:54:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1143,louis.bernard38@example.com,#1143
ch_3Q000065,2026-06-24 16:26:00,405.60,220.8,eur,5.93,399.67,Paid,Shopify order #1144,camille.durand45663@example.com,#1144
ch_3Q000066,2026-06-24 13:20:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1145,jade.laurent22@example.com,#1145
ch_3Q000067,2026-06-24 13:57:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1146,manon.laurent52675@example.com,#1146
ch_3Q000068,2026-06-24 17:01:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1147,chloe.moreau84@example.com,#1147
ch_3Q000069,2026-06-24 15:34:00,453.60,0.00,eur,6.60,447.00,Paid,Shopify order #1148,hugo.lefebvre55@example.com,#1148
ch_3Q000070,2026-06-24 08:52:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1149,gabriel.lefebvre42@example.com,#1149
ch_3Q000071,2026-06-24 17:56:00,127.44,0.00,eur,2.03,125.41,Paid,Shopify order #1150,arthur.leroy1926@example.com,#1150
ch_3Q000072,2026-06-24 19:40:00,226.80,0.00,eur,3.43,223.37,Paid,Shopify order #1151,louis.leroy27030@example.com,#1151
ch_3Q000073,2026-06-24 20:00:00,149.04,0.00,eur,2.34,146.70,Paid,Shopify order #1152,chloe.petit39@example.com,#1152
ch_3Q000074,2026-06-24 19:51:00,312.12,0.00,eur,4.62,307.50,Paid,Shopify order #1153,chloe.michel57868@example.com,#1153
ch_3Q000075,2026-06-24 16:58:00,237.60,0.00,eur,3.58,234.02,Paid,Shopify order #1154,emma.moreau82@example.com,#1154
ch_3Q000076,2026-06-24 08:49:00,76.70,0.00,eur,1.32,75.38,Paid,Shopify order #1155,arthur.thomas39@example.com,#1155
ch_3Q000077,2026-06-24 16:07:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1156,sarah.leroy31@example.com,#1156
ch_3Q000078,2026-06-24 09:20:00,177.60,0.00,eur,2.74,174.86,Paid,Shopify order #1157,nathan.petit4486@example.com,#1157
ch_3Q000079,2026-06-24 17:22:00,69.62,0.00,eur,1.22,68.40,Paid,Shopify order #1158,sarah.robert75478@example.com,#1158
ch_3Q000080,2026-06-24 12:15:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1159,paul.durand31@example.com,#1159
ch_3Q000081,2026-06-24 21:23:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1160,louis.leroy728@example.com,#1160
ch_3Q000082,2026-06-24 13:50:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1161,sarah.petit11@example.com,#1161
ch_3Q000083,2026-06-25 14:34:00,226.80,0.00,eur,3.43,223.37,Paid,Shopify order #1162,manon.durand39@example.com,#1162
ch_3Q000084,2026-06-25 09:06:00,48.02,29.93,eur,0.92,47.10,Paid,Shopify order #1163,arthur.robert55@example.com,#1163
ch_3Q000085,2026-06-25 18:25:00,52.70,32.44,eur,0.99,51.71,Paid,Shopify order #1164,theo.petit66806@example.com,#1164
ch_3Q000086,2026-06-25 09:03:00,632.40,0.00,eur,9.10,623.30,Paid,Shopify order #1165,louis.leroy76017@example.com,#1165
ch_3Q000087,2026-06-25 14:36:00,178.80,0.00,eur,2.75,176.05,Paid,Shopify order #1166,emma.michel29099@example.com,#1166
ch_3Q000088,2026-06-25 21:32:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1167,hugo.bernard63@example.com,#1167
ch_3Q000089,2026-06-25 13:11:00,69.62,0.00,eur,1.22,68.40,Paid,Shopify order #1168,hugo.moreau34887@example.com,#1168
ch_3Q000090,2026-06-25 22:53:00,99.50,0.00,eur,1.64,97.86,Paid,Shopify order #1169,nathan.garcia11@example.com,#1169
ch_3Q000091,2026-06-25 16:31:00,178.80,0.00,eur,2.75,176.05,Paid,Shopify order #1170,manon.simon41@example.com,#1170
ch_3Q000092,2026-06-25 22:11:00,48.02,0.00,eur,0.92,47.10,Paid,Shopify order #1171,emma.simon80@example.com,#1171
ch_3Q000093,2026-06-25 10:18:00,178.80,0.00,eur,2.75,176.05,Paid,Shopify order #1172,lea.garcia46@example.com,#1172
ch_3Q000094,2026-06-25 11:27:00,225.60,0.00,eur,3.41,222.19,Paid,Shopify order #1173,sarah.moreau88584@example.com,#1173
ch_3Q000095,2026-06-25 18:02:00,52.70,0.00,eur,0.99,51.71,Paid,Shopify order #1174,paul.dubois11@example.com,#1174
ch_3Q000096,2026-06-25 18:21:00,147.96,0.00,eur,2.32,145.64,Paid,Shopify order #1175,sarah.robert67359@example.com,#1175
ch_3Q000097,2026-06-25 20:46:00,52.70,0.00,eur,0.99,51.71,Paid,Shopify order #1176,manon.garcia95828@example.com,#1176
ch_3Q000098,2026-06-25 08:28:00,141.60,0.00,eur,2.23,139.37,Paid,Shopify order #1177,manon.petit74@example.com,#1177
ch_3Q000099,2026-06-25 11:29:00,52.70,0.00,eur,0.99,51.71,Paid,Shopify order #1178,paul.robert12@example.com,#1178
ch_3Q000100,2026-06-25 10:34:00,105.60,0.00,eur,1.73,103.87,Paid,Shopify order #1179,paul.laurent62@example.com,#1179
ch_3Q000101,2026-06-25 13:24:00,226.80,0.00,eur,3.43,223.37,Paid,Shopify order #1180,camille.simon80@example.com,#1180
ch_3Q000102,2026-06-25 13:52:00,204.12,0.00,eur,3.11,201.01,Paid,Shopify order #1181,camille.lefebvre45@example.com,#1181
ch_3Q000103,2026-06-25 20:22:00,178.80,0.00,eur,2.75,176.05,Paid,Shopify order #1182,paul.moreau30@example.com,#1182
ch_3Q000104,2026-06-25 11:13:00,129.60,0.00,eur,2.06,127.54,Paid,Shopify order #1183,manon.moreau51@example.com,#1183
ch_3Q000105,2026-06-25 20:59:00,178.80,0.00,eur,2.75,176.05,Paid,Shopify order #1184,nathan.moreau40855@example.com,#1184
ch_3Q000106,2026-06-25 22:24:00,117.60,0.00,eur,1.90,115.70,Paid,Shopify order #1185,lucas.durand69@example.com,#1185
ch_3Q000107,2026-06-25 08:05:00,105.84,0.00,eur,1.73,104.11,Paid,Shopify order #1186,emma.moreau82@example.com,#1186
ch_3Q000108,2026-06-25 10:43:00,165.60,0.00,eur,2.57,163.03,Paid,Shopify order #1187,chloe.durand80@example.com,#1187
ch_3Q000109,2026-06-26 14:10:00,312.12,0.00,eur,4.62,307.50,Paid,Shopify order #1188,hugo.durand30@example.com,#1188
ch_3Q000110,2026-06-26 15:37:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1189,nathan.moreau32422@example.com,#1189
ch_3Q000111,2026-06-26 11:02:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1190,manon.thomas97@example.com,#1190
ch_3Q000112,2026-06-26 14:17:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1191,arthur.robert48@example.com,#1191
ch_3Q000113,2026-06-26 21:23:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1192,jade.petit81@example.com,#1192
ch_3Q000114,2026-06-26 11:59:00,261.60,0.00,eur,3.91,257.69,Paid,Shopify order #1193,arthur.durand16030@example.com,#1193
ch_3Q000115,2026-06-26 15:43:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1194,nathan.moreau54628@example.com,#1194
ch_3Q000116,2026-06-26 20:01:00,178.80,0.00,eur,2.75,176.05,Paid,Shopify order #1195,camille.garcia96169@example.com,#1195
ch_3Q000117,2026-06-26 19:03:00,365.04,0.00,eur,5.36,359.68,Paid,Shopify order #1196,gabriel.durand84621@example.com,#1196
ch_3Q000118,2026-06-26 20:39:00,52.70,0.00,eur,0.99,51.71,Paid,Shopify order #1197,arthur.lefebvre41110@example.com,#1197
ch_3Q000119,2026-06-26 09:11:00,204.12,0.00,eur,3.11,201.01,Paid,Shopify order #1198,jade.robert93@example.com,#1198
ch_3Q000120,2026-06-26 11:37:00,429.60,0.00,eur,6.26,423.34,Paid,Shopify order #1199,ines.garcia40813@example.com,#1199
ch_3Q000121,2026-06-26 20:33:00,141.60,0.00,eur,2.23,139.37,Paid,Shopify order #1200,,#1200
ch_3Q000122,2026-06-26 15:00:00,52.70,0.00,eur,0.99,51.71,Paid,Shopify order #1201,manon.moreau76717@example.com,#1201
ch_3Q000123,2026-06-26 22:15:00,52.70,0.00,eur,0.99,51.71,Paid,Shopify order #1202,gabriel.garcia48@example.com,#1202
ch_3Q000124,2026-06-26 17:56:00,91.22,0.00,eur,1.53,89.69,Paid,Shopify order #1203,lucas.durand45310@example.com,#1203
ch_3Q000125,2026-06-26 14:06:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1204,sarah.robert67359@example.com,#1204
ch_3Q000126,2026-06-26 15:07:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1205,lucas.durand69@example.com,#1205
ch_3Q000127,2026-06-27 14:02:00,224.64,0.00,eur,3.39,221.25,Paid,Shopify order #1206,nathan.martin54@example.com,#1206
ch_3Q000128,2026-06-27 11:45:00,226.80,0.00,eur,3.43,223.37,Paid,Shopify order #1207,lea.dubois16@example.com,#1207
ch_3Q000129,2026-06-27 15:08:00,225.60,0.00,eur,3.41,222.19,Paid,Shopify order #1208,manon.petit9@example.com,#1208
ch_3Q000130,2026-06-27 08:09:00,58.82,0.00,eur,1.07,57.75,Paid,Shopify order #1209,arthur.thomas24@example.com,#1209
ch_3Q000131,2026-06-27 22:11:00,189.60,0.00,eur,2.90,186.70,Paid,Shopify order #1210,hugo.laurent42@example.com,#1210
ch_3Q000132,2026-06-27 16:59:00,226.80,114.84,eur,3.43,223.37,Paid,Shopify order #1211,paul.dubois39@example.com,#1211
ch_3Q000133,2026-06-27 13:33:00,52.70,0.00,eur,0.99,51.71,Paid,Shopify order #1212,nathan.thomas53@example.com,#1212
ch_3Q000134,2026-06-27 22:47:00,226.80,0.00,eur,3.43,223.37,Paid,Shopify order #1213,lea.michel23524@example.com,#1213
ch_3Q000135,2026-06-27 13:44:00,129.60,0.00,eur,2.06,127.54,Paid,Shopify order #1214,jade.thomas13790@example.com,#1214
ch_3Q000136,2026-06-27 20:16:00,693.60,0.00,eur,9.96,683.64,Paid,Shopify order #1215,louis.lefebvre1785@example.com,#1215
ch_3Q000137,2026-06-27 15:22:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1216,theo.petit66806@example.com,#1216
ch_3Q000138,2026-06-27 20:59:00,273.60,0.00,eur,4.08,269.52,Paid,Shopify order #1217,theo.bernard64575@example.com,#1217
ch_3Q000139,2026-06-27 11:39:00,178.80,0.00,eur,2.75,176.05,Paid,Shopify order #1218,arthur.lefebvre41110@example.com,#1218
ch_3Q000140,2026-06-27 20:11:00,212.40,0.00,eur,3.22,209.18,Paid,Shopify order #1219,lucas.dubois76@example.com,#1219
ch_3Q000141,2026-06-27 15:34:00,64.70,0.00,eur,1.16,63.54,Paid,Shopify order #1220,ines.bernard48@example.com,#1220
ch_3Q000142,2026-06-27 09:26:00,226.80,0.00,eur,3.43,223.37,Paid,Shopify order #1221,louis.bernard38@example.com,#1221
ch_3Q000143,2026-06-27 11:13:00,64.70,0.00,eur,1.16,63.54,Paid,Shopify order #1222,lucas.durand45310@example.com,#1222
ch_3Q000144,2026-06-27 20:07:00,178.80,0.00,eur,2.75,176.05,Paid,Shopify order #1223,gabriel.martin21164@example.com,#1223
ch_3Q000145,2026-06-27 09:52:00,64.70,0.00,eur,1.16,63.54,Paid,Shopify order #1224,hugo.leroy55005@example.com,#1224
ch_3Q000146,2026-06-28 17:41:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1225,chloe.garcia14321@example.com,#1225
ch_3Q000147,2026-06-28 11:08:00,64.70,0.00,eur,1.16,63.54,Paid,Shopify order #1226,nathan.dubois60@example.com,#1226
ch_3Q000148,2026-06-28 18:18:00,261.60,0.00,eur,3.91,257.69,Paid,Shopify order #1227,camille.dubois84@example.com,#1227
ch_3Q000149,2026-06-28 09:41:00,226.80,0.00,eur,3.43,223.37,Paid,Shopify order #1228,louis.simon65@example.com,#1228
ch_3Q000150,2026-06-28 17:05:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1229,louis.garcia60673@example.com,#1229
ch_3Q000151,2026-06-28 19:35:00,69.62,0.00,eur,1.22,68.40,Paid,Shopify order #1230,hugo.bernard63@example.com,#1230
ch_3Q000152,2026-06-28 10:52:00,48.02,0.00,eur,0.92,47.10,Paid,Shopify order #1231,ines.michel5189@example.com,#1231
ch_3Q000153,2026-06-28 21:25:00,405.60,0.00,eur,5.93,399.67,Paid,Shopify order #1232,nathan.petit29@example.com,#1232
ch_3Q000154,2026-06-28 11:47:00,129.60,0.00,eur,2.06,127.54,Paid,Shopify order #1233,camille.moreau97@example.com,#1233
ch_3Q000155,2026-06-28 11:48:00,473.04,0.00,eur,6.87,466.17,Paid,Shopify order #1234,nathan.thomas50@example.com,#1234
ch_3Q000156,2026-06-28 19:25:00,165.60,0.00,eur,2.57,163.03,Paid,Shopify order #1235,theo.thomas47066@example.com,#1235
ch_3Q000157,2026-06-28 12:29:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1236,lea.durand34863@example.com,#1236
ch_3Q000158,2026-06-28 10:15:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1237,louis.moreau15817@example.com,#1237
ch_3Q000159,2026-06-28 20:59:00,160.92,0.00,eur,2.50,158.42,Paid,Shopify order #1238,ines.laurent56201@example.com,#1238
ch_3Q000160,2026-06-28 09:37:00,417.60,0.00,eur,6.10,411.50,Paid,Shopify order #1239,sarah.martin99775@example.com,#1239
ch_3Q000161,2026-06-28 18:51:00,312.12,0.00,eur,4.62,307.50,Paid,Shopify order #1240,hugo.durand53756@example.com,#1240
ch_3Q000162,2026-06-28 21:43:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1241,jade.michel62314@example.com,#1241
ch_3Q000163,2026-06-28 17:01:00,48.02,0.00,eur,0.92,47.10,Paid,Shopify order #1242,hugo.garcia9112@example.com,#1242
ch_3Q000164,2026-06-28 17:21:00,226.80,0.00,eur,3.43,223.37,Paid,Shopify order #1243,arthur.petit13782@example.com,#1243
ch_3Q000165,2026-06-29 19:59:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1244,sarah.thomas14897@example.com,#1244
ch_3Q000166,2026-06-29 18:39:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1245,lea.robert8@example.com,#1245
ch_3Q000167,2026-06-29 22:02:00,64.70,0.00,eur,1.16,63.54,Paid,Shopify order #1246,lucas.leroy2672@example.com,#1246
ch_3Q000168,2026-06-29 17:17:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1247,paul.michel8@example.com,#1247
ch_3Q000169,2026-06-29 17:20:00,76.70,0.00,eur,1.32,75.38,Paid,Shopify order #1248,hugo.simon82@example.com,#1248
ch_3Q000170,2026-06-29 22:37:00,129.60,0.00,eur,2.06,127.54,Paid,Shopify order #1249,sarah.martin99716@example.com,#1249
ch_3Q000171,2026-06-29 20:43:00,417.60,0.00,eur,6.10,411.50,Paid,Shopify order #1250,chloe.garcia24@example.com,#1250
ch_3Q000172,2026-06-29 22:36:00,178.80,0.00,eur,2.75,176.05,Paid,Shopify order #1251,emma.simon47254@example.com,#1251
ch_3Q000173,2026-06-29 10:24:00,64.70,0.00,eur,1.16,63.54,Paid,Shopify order #1252,arthur.thomas24@example.com,#1252
ch_3Q000174,2026-06-29 22:07:00,249.60,0.00,eur,3.74,245.86,Paid,Shopify order #1253,arthur.michel32@example.com,#1253
ch_3Q000175,2026-06-29 19:52:00,321.84,0.00,eur,4.76,317.08,Paid,Shopify order #1254,louis.leroy27030@example.com,#1254
ch_3Q000176,2026-06-29 19:46:00,127.44,0.00,eur,2.03,125.41,Paid,Shopify order #1255,lea.petit50@example.com,#1255
ch_3Q000177,2026-06-29 08:18:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1256,manon.michel82800@example.com,#1256
ch_3Q000178,2026-06-29 18:03:00,91.22,0.00,eur,1.53,89.69,Paid,Shopify order #1257,emma.bernard69809@example.com,#1257
ch_3Q000179,2026-06-29 15:47:00,64.70,0.00,eur,1.16,63.54,Paid,Shopify order #1258,paul.durand31@example.com,#1258
ch_3Q000180,2026-06-29 11:48:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1259,manon.martin91@example.com,#1259
ch_3Q000181,2026-06-29 08:35:00,69.62,0.00,eur,1.22,68.40,Paid,Shopify order #1260,sarah.durand99@example.com,#1260
ch_3Q000182,2026-06-29 12:36:00,99.50,0.00,eur,1.64,97.86,Paid,Shopify order #1261,lea.michel85779@example.com,#1261
ch_3Q000183,2026-06-29 08:56:00,204.12,0.00,eur,3.11,201.01,Paid,Shopify order #1262,hugo.martin28@example.com,#1262
ch_3Q000184,2026-06-29 22:27:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1263,jade.petit27@example.com,#1263
ch_3Q000185,2026-06-29 14:21:00,80.42,0.00,eur,1.38,79.04,Paid,Shopify order #1264,louis.simon11@example.com,#1264
ch_3Q000186,2026-06-29 22:48:00,320.40,0.00,eur,4.74,315.66,Paid,Shopify order #1265,emma.martin32@example.com,#1265
ch_3Q000187,2026-06-29 21:14:00,100.70,0.00,eur,1.66,99.04,Paid,Shopify order #1266,emma.petit67063@example.com,#1266
ch_3Q000188,2026-06-29 11:45:00,525.60,0.00,eur,7.61,517.99,Paid,Shopify order #1267,chloe.garcia13@example.com,#1267
ch_3Q000189,2026-06-29 22:16:00,52.70,0.00,eur,0.99,51.71,Paid,Shopify order #1268,louis.simon38332@example.com,#1268
ch_3Q000190,2026-06-29 10:08:00,76.70,0.00,eur,1.32,75.38,Paid,Shopify order #1269,camille.lefebvre36@example.com,#1269
ch_3Q000191,2026-06-29 21:55:00,88.70,0.00,eur,1.49,87.21,Paid,Shopify order #1270,chloe.michel91@example.com,#1270
ch_3Q000192,2026-06-29 19:02:00,346.80,0.00,eur,5.11,341.69,Paid,Shopify order #1271,arthur.lefebvre41110@example.com,#1271
ch_3Q000193,2026-06-29 14:37:00,141.60,0.00,eur,2.23,139.37,Paid,Shopify order #1272,paul.laurent62@example.com,#1272
ch_3Q000194,2026-06-30 18:32:00,226.80,0.00,eur,3.43,223.37,Paid,Shopify order #1273,gabriel.martin99@example.com,#1273
ch_3Q000195,2026-06-30 19:13:00,354.24,0.00,eur,5.21,349.03,Paid,Shopify order #1274,sarah.martin99775@example.com,#1274
ch_3Q000196,2026-06-30 15:54:00,693.60,0.00,eur,9.96,683.64,Paid,Shopify order #1275,sarah.martin56@example.com,#1275
ch_3Q000197,2026-06-30 19:27:00,129.60,0.00,eur,2.06,127.54,Paid,Shopify order #1276,nathan.petit10480@example.com,#1276
ch_3Q000198,2026-06-30 12:23:00,441.60,0.00,eur,6.43,435.17,Paid,Shopify order #1277,gabriel.thomas47@example.com,#1277
