Name,Email,Financial Status,Created at,Currency,Subtotal,Discount Amount,Shipping,Taxes,Total,Refunded Amount,Lineitem quantity,Lineitem name,Lineitem price,Lineitem sku
#1131,louis.simon65@example.com,paid,2026-06-23 21:45:00 +0200,EUR,170.10,18.90,0.00,34.02,204.12,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1132,manon.garcia95828@example.com,paid,2026-06-23 15:41:00 +0200,EUR,118.00,0.00,0.00,23.60,141.60,,1,Ceinture Reversible,79.00,ACC-200
#1132,,,,,,,,,,,1,Porte-cartes,39.00,ACC-201
#1133,louis.garcia68@example.com,paid,2026-06-24 17:29:00 +0200,EUR,59.00,0.00,5.90,11.80,76.70,,1,Bracelet Cuir Camel,59.00,BRW-002
#1134,lea.laurent34@example.com,paid,2026-06-24 20:57:00 +0200,EUR,69.00,0.00,5.90,13.80,88.70,,1,Pochette Zippee,69.00,BAG-101
#1135,gabriel.garcia74245@example.com,paid,2026-06-24 15:53:00 +0200,EUR,138.00,0.00,0.00,27.60,165.60,,2,Pochette Zippee,69.00,BAG-101
#1136,camille.bernard21@example.com,paid,2026-06-24 15:03:00 +0200,EUR,62.10,6.90,5.90,12.42,80.42,,1,Pochette Zippee,69.00,BAG-101
#1137,emma.garcia36@example.com,paid,2026-06-24 14:38:00 +0200,EUR,69.00,0.00,5.90,13.80,88.70,,1,Pochette Zippee,69.00,BAG-101
#1138,theo.robert97@example.com,paid,2026-06-24 13:54:00 +0200,EUR,149.00,0.00,0.00,29.80,178.80,,1,Montre Quartz 34mm,149.00,WTC-011
#1139,nathan.martin93681@example.com,refunded,2026-06-24 17:18:00 +0200,EUR,69.00,0.00,5.90,13.80,88.70,55.81,1,Pochette Zippee,69.00,BAG-101
#1140,lea.thomas10@example.com,paid,2026-06-24 21:59:00 +0200,EUR,189.00,0.00,0.00,37.80,226.80,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1141,nathan.moreau40855@example.com,paid,2026-06-24 12:17:00 +0200,EUR,59.00,0.00,5.90,11.80,76.70,,1,Bracelet Cuir Camel,59.00,BRW-002
#1142,paul.durand92@example.com,paid,2026-06-24 12:40:00 +0200,EUR,289.00,0.00,0.00,57.80,346.80,,1,Montre Automatique 38mm,289.00,WTC-010
#1143,louis.bernard38@example.com,paid,2026-06-24 21:54:00 +0200,EUR,289.00,0.00,0.00,57.80,346.80,,1,Montre Automatique 38mm,289.00,WTC-010
#1144,camille.durand45663@example.com,refunded,2026-06-24 16:26:00 +0200,EUR,338.00,0.00,0.00,67.60,405.60,220.8,1,Sac Bandouliere Cuir,189.00,BAG-100
#1144,,,,,,,,,,,1,Montre Quartz 34mm,149.00,WTC-011
#1145,jade.laurent22@example.com,paid,2026-06-24 13:20:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1146,manon.laurent52675@example.com,paid,2026-06-24 13:57:00 +0200,EUR,69.00,0.00,5.90,13.80,88.70,,1,Pochette Zippee,69.00,BAG-101
#1147,chloe.moreau84@example.com,paid,2026-06-24 17:01:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1148,hugo.lefebvre55@example.com,paid,2026-06-24 15:34:00 +0200,EUR,378.00,0.00,0.00,75.60,453.60,,2,Sac Bandouliere Cuir,189.00,BAG-100
#1149,gabriel.lefebvre42@example.com,paid,2026-06-24 08:52:00 +0200,EUR,69.00,0.00,5.90,13.80,88.70,,1,Pochette Zippee,69.00,BAG-101
#1150,arthur.leroy1926@example.com,paid,2026-06-24 17:56:00 +0200,EUR,106.20,11.80,0.00,21.24,127.44,,1,Bracelet Acier Noir,49.00,BRW-001
#1150,,,,,,,,,,,1,Pochette Zippee,69.00,BAG-101
#1151,louis.leroy27030@example.com,paid,2026-06-24 19:40:00 +0200,EUR,189.00,0.00,0.00,37.80,226.80,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1152,chloe.petit39@example.com,paid,2026-06-24 20:00:00 +0200,EUR,124.20,13.80,0.00,24.84,149.04,,2,Pochette Zippee,69.00,BAG-101
#1153,chloe.michel57868@example.com,paid,2026-06-24 19:51:00 +0200,EUR,260.10,28.90,0.00,52.02,312.12,,1,Montre Automatique 38mm,289.00,WTC-010
#1154,emma.moreau82@example.com,paid,2026-06-24 16:58:00 +0200,EUR,198.00,0.00,0.00,39.60,237.60,,1,Montre Quartz 34mm,149.00,WTC-011
#1154,,,,,,,,,,,1,Bracelet Acier Noir,49.00,BRW-001
#1155,arthur.thomas39@example.com,paid,2026-06-24 08:49:00 +0200,EUR,59.00,0.00,5.90,11.80,76.70,,1,Bracelet Cuir Camel,59.00,BRW-002
#1156,sarah.leroy31@example.com,paid,2026-06-24 16:07:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1157,nathan.petit4486@example.com,paid,2026-06-24 09:20:00 +0200,EUR,148.00,0.00,0.00,29.60,177.60,,1,Pochette Zippee,69.00,BAG-101
#1157,,,,,,,,,,,1,Ceinture Reversible,79.00,ACC-200
#1158,sarah.robert75478@example.com,paid,2026-06-24 17:22:00 +0200,EUR,53.10,5.90,5.90,10.62,69.62,,1,Bracelet Cuir Camel,59.00,BRW-002
#1159,paul.durand31@example.com,paid,2026-06-24 12:15:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1160,louis.leroy728@example.com,paid,2026-06-24 21:23:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1161,sarah.petit11@example.com,paid,2026-06-24 13:50:00 +0200,EUR,289.00,0.00,0.00,57.80,346.80,,1,Montre Automatique 38mm,289.00,WTC-010
#1162,manon.durand39@example.com,paid,2026-06-25 14:34:00 +0200,EUR,189.00,0.00,0.00,37.80,226.80,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1163,arthur.robert55@example.com,refunded,2026-06-25 09:06:00 +0200,EUR,35.10,3.90,5.90,7.02,48.02,29.93,1,Porte-cartes,39.00,ACC-201
#1164,theo.petit66806@example.com,refunded,2026-06-25 18:25:00 +0200,EUR,39.00,0.00,5.90,7.80,52.70,32.44,1,Porte-cartes,39.00,ACC-201
#1165,louis.leroy76017@example.com,paid,2026-06-25 09:03:00 +0200,EUR,527.00,0.00,0.00,105.40,632.40,,2,Sac Bandouliere Cuir,189.00,BAG-100
#1165,,,,,,,,,,,1,Montre Quartz 34mm,149.00,WTC-011
#1166,emma.michel29099@example.com,paid,2026-06-25 14:36:00 +0200,EUR,149.00,0.00,0.00,29.80,178.80,,1,Montre Quartz 34mm,149.00,WTC-011
#1167,hugo.bernard63@example.com,paid,2026-06-25 21:32:00 +0200,EUR,69.00,0.00,5.90,13.80,88.70,,1,Pochette Zippee,69.00,BAG-101
#1168,hugo.moreau34887@example.com,paid,2026-06-25 13:11:00 +0200,EUR,53.10,5.90,5.90,10.62,69.62,,1,Bracelet Cuir Camel,59.00,BRW-002
#1169,nathan.garcia11@example.com,paid,2026-06-25 22:53:00 +0200,EUR,78.00,0.00,5.90,15.60,99.50,,2,Porte-cartes,39.00,ACC-201
#1170,manon.simon41@example.com,paid,2026-06-25 16:31:00 +0200,EUR,149.00,0.00,0.00,29.80,178.80,,1,Montre Quartz 34mm,149.00,WTC-011
#1171,emma.simon80@example.com,paid,2026-06-25 22:11:00 +0200,EUR,35.10,3.90,5.90,7.02,48.02,,1,Porte-cartes,39.00,ACC-201
#1172,lea.garcia46@example.com,paid,2026-06-25 10:18:00 +0200,EUR,149.00,0.00,0.00,29.80,178.80,,1,Montre Quartz 34mm,149.00,WTC-011
#1173,sarah.moreau88584@example.com,paid,2026-06-25 11:27:00 +0200,EUR,188.00,0.00,0.00,37.60,225.60,,1,Porte-cartes,39.00,ACC-201
#1173,,,,,,,,,,,1,Montre Quartz 34mm,149.00,WTC-011
#1174,paul.dubois11@example.com,paid,2026-06-25 18:02:00 +0200,EUR,39.00,0.00,5.90,7.80,52.70,,1,Porte-cartes,39.00,ACC-201
#1175,sarah.robert67359@example.com,paid,2026-06-25 18:21:00 +0200,EUR,123.30,13.70,0.00,24.66,147.96,,2,Bracelet Acier Noir,49.00,BRW-001
#1175,,,,,,,,,,,1,Porte-cartes,39.00,ACC-201
#1176,manon.garcia95828@example.com,paid,2026-06-25 20:46:00 +0200,EUR,39.00,0.00,5.90,7.80,52.70,,1,Porte-cartes,39.00,ACC-201
#1177,manon.petit74@example.com,paid,2026-06-25 08:28:00 +0200,EUR,118.00,0.00,0.00,23.60,141.60,,1,Porte-cartes,39.00,ACC-201
#1177,,,,,,,,,,,1,Ceinture Reversible,79.00,ACC-200
#1178,paul.robert12@example.com,paid,2026-06-25 11:29:00 +0200,EUR,39.00,0.00,5.90,7.80,52.70,,1,Porte-cartes,39.00,ACC-201
#1179,paul.laurent62@example.com,paid,2026-06-25 10:34:00 +0200,EUR,88.00,0.00,0.00,17.60,105.60,,1,Bracelet Acier Noir,49.00,BRW-001
#1179,,,,,,,,,,,1,Porte-cartes,39.00,ACC-201
#1180,camille.simon80@example.com,paid,2026-06-25 13:24:00 +0200,EUR,189.00,0.00,0.00,37.80,226.80,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1181,camille.lefebvre45@example.com,paid,2026-06-25 13:52:00 +0200,EUR,170.10,18.90,0.00,34.02,204.12,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1182,paul.moreau30@example.com,paid,2026-06-25 20:22:00 +0200,EUR,149.00,0.00,0.00,29.80,178.80,,1,Montre Quartz 34mm,149.00,WTC-011
#1183,manon.moreau51@example.com,paid,2026-06-25 11:13:00 +0200,EUR,108.00,0.00,0.00,21.60,129.60,,1,Porte-cartes,39.00,ACC-201
#1183,,,,,,,,,,,1,Pochette Zippee,69.00,BAG-101
#1184,nathan.moreau40855@example.com,paid,2026-06-25 20:59:00 +0200,EUR,149.00,0.00,0.00,29.80,178.80,,1,Montre Quartz 34mm,149.00,WTC-011
#1185,lucas.durand69@example.com,paid,2026-06-25 22:24:00 +0200,EUR,98.00,0.00,0.00,19.60,117.60,,2,Bracelet Acier Noir,49.00,BRW-001
#1186,emma.moreau82@example.com,paid,2026-06-25 08:05:00 +0200,EUR,88.20,9.80,0.00,17.64,105.84,,2,Bracelet Acier Noir,49.00,BRW-001
#1187,chloe.durand80@example.com,paid,2026-06-25 10:43:00 +0200,EUR,138.00,0.00,0.00,27.60,165.60,,1,Ceinture Reversible,79.00,ACC-200
#1187,,,,,,,,,,,1,Bracelet Cuir Camel,59.00,BRW-002
#1188,hugo.durand30@example.com,paid,2026-06-26 14:10:00 +0200,EUR,260.10,28.90,0.00,52.02,312.12,,1,Montre Automatique 38mm,289.00,WTC-010
#1189,nathan.moreau32422@example.com,paid,2026-06-26 15:37:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1190,manon.thomas97@example.com,paid,2026-06-26 11:02:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1191,arthur.robert48@example.com,paid,2026-06-26 14:17:00 +0200,EUR,69.00,0.00,5.90,13.80,88.70,,1,Pochette Zippee,69.00,BAG-101
#1192,jade.petit81@example.com,paid,2026-06-26 21:23:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1193,arthur.durand16030@example.com,paid,2026-06-26 11:59:00 +0200,EUR,218.00,0.00,0.00,43.60,261.60,,1,Pochette Zippee,69.00,BAG-101
#1193,,,,,,,,,,,1,Montre Quartz 34mm,149.00,WTC-011
#1194,nathan.moreau54628@example.com,paid,2026-06-26 15:43:00 +0200,EUR,289.00,0.00,0.00,57.80,346.80,,1,Montre Automatique 38mm,289.00,WTC-010
#1195,camille.garcia96169@example.com,paid,2026-06-26 20:01:00 +0200,EUR,149.00,0.00,0.00,29.80,178.80,,1,Montre Quartz 34mm,149.00,WTC-011
#1196,gabriel.durand84621@example.com,paid,2026-06-26 19:03:00 +0200,EUR,304.20,33.80,0.00,60.84,365.04,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1196,,,,,,,,,,,1,Montre Quartz 34mm,149.00,WTC-011
#1197,arthur.lefebvre41110@example.com,paid,2026-06-26 20:39:00 +0200,EUR,39.00,0.00,5.90,7.80,52.70,,1,Porte-cartes,39.00,ACC-201
#1198,jade.robert93@example.com,paid,2026-06-26 09:11:00 +0200,EUR,170.10,18.90,0.00,34.02,204.12,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1199,ines.garcia40813@example.com,paid,2026-06-26 11:37:00 +0200,EUR,358.00,0.00,0.00,71.60,429.60,,1,Montre Automatique 38mm,289.00,WTC-010
#1199,,,,,,,,,,,1,Pochette Zippee,69.00,BAG-101
#1200,,paid,2026-06-26 20:33:00 +0200,EUR,118.00,0.00,0.00,23.60,141.60,,2,Bracelet Cuir Camel,59.00,BRW-002
#1201,manon.moreau76717@example.com,paid,2026-06-26 15:00:00 +0200,EUR,39.00,0.00,5.90,7.80,52.70,,1,Porte-cartes,39.00,ACC-201
#1202,gabriel.garcia48@example.com,paid,2026-06-26 22:15:00 +0200,EUR,39.00,0.00,5.90,7.80,52.70,,1,Porte-cartes,39.00,ACC-201
#1203,lucas.durand45310@example.com,paid,2026-06-26 17:56:00 +0200,EUR,71.10,7.90,5.90,14.22,91.22,,1,Ceinture Reversible,79.00,ACC-200
#1204,sarah.robert67359@example.com,paid,2026-06-26 14:06:00 +0200,EUR,69.00,0.00,5.90,13.80,88.70,,1,Pochette Zippee,69.00,BAG-101
#1205,lucas.durand69@example.com,paid,2026-06-26 15:07:00 +0200,EUR,289.00,0.00,0.00,57.80,346.80,,1,Montre Automatique 38mm,289.00,WTC-010
#1206,nathan.martin54@example.com,paid,2026-06-27 14:02:00 +0200,EUR,187.20,20.80,0.00,37.44,224.64,,1,Bracelet Cuir Camel,59.00,BRW-002
#1206,,,,,,,,,,,1,Montre Quartz 34mm,149.00,WTC-011
#1207,lea.dubois16@example.com,paid,2026-06-27 11:45:00 +0200,EUR,189.00,0.00,0.00,37.80,226.80,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1208,manon.petit9@example.com,paid,2026-06-27 15:08:00 +0200,EUR,188.00,0.00,0.00,37.60,225.60,,1,Porte-cartes,39.00,ACC-201
#1208,,,,,,,,,,,1,Montre Quartz 34mm,149.00,WTC-011
#1209,arthur.thomas24@example.com,paid,2026-06-27 08:09:00 +0200,EUR,44.10,4.90,5.90,8.82,58.82,,1,Bracelet Acier Noir,49.00,BRW-001
#1210,hugo.laurent42@example.com,paid,2026-06-27 22:11:00 +0200,EUR,158.00,0.00,0.00,31.60,189.60,,2,Ceinture Reversible,79.00,ACC-200
#1211,paul.dubois39@example.com,refunded,2026-06-27 16:59:00 +0200,EUR,189.00,0.00,0.00,37.80,226.80,114.84,1,Sac Bandouliere Cuir,189.00,BAG-100
#1212,nathan.thomas53@example.com,paid,2026-06-27 13:33:00 +0200,EUR,39.00,0.00,5.90,7.80,52.70,,1,Porte-cartes,39.00,ACC-201
#1213,lea.michel23524@example.com,paid,2026-06-27 22:47:00 +0200,EUR,189.00,0.00,0.00,37.80,226.80,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1214,jade.thomas13790@example.com,paid,2026-06-27 13:44:00 +0200,EUR,108.00,0.00,0.00,21.60,129.60,,1,Pochette Zippee,69.00,BAG-101
#1214,,,,,,,,,,,1,Porte-cartes,39.00,ACC-201
#1215,louis.lefebvre1785@example.com,paid,2026-06-27 20:16:00 +0200,EUR,578.00,0.00,0.00,115.60,693.60,,2,Montre Automatique 38mm,289.00,WTC-010
#1216,theo.petit66806@example.com,paid,2026-06-27 15:22:00 +0200,EUR,79.00,0.00,5.90,15.80,100.70,,1,Ceinture Reversible,79.00,ACC-200
#1217,theo.bernard64575@example.com,paid,2026-06-27 20:59:00 +0200,EUR,228.00,0.00,0.00,45.60,273.60,,1,Montre Quartz 34mm,149.00,WTC-011
#1217,,,,,,,,,,,1,Ceinture Reversible,79.00,ACC-200
#1218,arthur.lefebvre41110@example.com,paid,2026-06-27 11:39:00 +0200,EUR,149.00,0.00,0.00,29.80,178.80,,1,Montre Quartz 34mm,149.00,WTC-011
#1219,lucas.dubois76@example.com,paid,2026-06-27 20:11:00 +0200,EUR,177.00,0.00,0.00,35.40,212.40,,2,Pochette Zippee,69.00,BAG-101
#1219,,,,,,,,,,,1,Porte-cartes,39.00,ACC-201
#1220,ines.bernard48@example.com,paid,2026-06-27 15:34:00 +0200,EUR,49.00,0.00,5.90,9.80,64.70,,1,Bracelet Acier Noir,49.00,BRW-001
#1221,louis.bernard38@example.com,paid,2026-06-27 09:26:00 +0200,EUR,189.00,0.00,0.00,37.80,226.80,,1,Sac Bandouliere Cuir,189.00,BAG-100
#1222,lucas.durand45310@example.com,paid,2026-06-27 11:13:00 +0200,EUR,49.00,0.00,5.90,9.80,64.70,,1,Bracelet Acier Noir,49.00,BRW-001
#1223,gabriel.martin21164@example.com,paid,2026-06-27 20:07:00 +0200,EUR,149.00,0.00,0.00,29.80,178.80,,1,Montre Quartz 34mm,149.00,WTC-011
#1224,hugo.leroy55005@example.com,paid,2026-06-27 09:52:00 +0200,EUR,49.00,0.00,5.90,9.80,64.70,,1,Bracelet Acier Noir,49.00,BRW-001
#1225,chloe.garcia14321@example.com,paid,2026-06-28 17:41:00 +0200,EUR,289.00,0.00,0.00,57.80,346.80,,1,Montre Automatique 38mm,289.00,WTC-010
#1226,nathan.dubois60@example.com,paid,2026-06-28 11:08:00 +0200,EUR,49.00,0.00,5.90,9.80,64.70,,1,Bracelet Acier Noir,49.00,BRW-001
#1227,camille.dubois84@example.com,paid,2026-06-28 18:18:00 +0200,EUR,218.00,0.00,0.00,43.60,261.60,,1,Pochette Zippee,69.00,BAG-101
